,close,date,high,low,open,quoteVolume,volume,weightedAverage
7129,198.04330773,2018-05-20 04:00:00,198.88064776,196.72189178,197.5,31.49905871,6231.35789027,197.8267969
7130,199.0,2018-05-20 08:00:00,200.0,196.84294018,196.84294018,21.88177311,4354.00063353,198.97841969
7131,199.80000001,2018-05-20 12:00:00,200.20804387,198.1,199.50000003,104.9341337,20898.00096425,199.15350922
7132,204.4909942,2018-05-20 16:00:00,204.99999998,199.81017203,200.0,201.6755346,40919.52955254,202.89783603
7133,203.4,2018-05-20 20:00:00,205.83281488,202.36356325,204.4910022,516.83733357,105418.34835399,203.96813756
7134,202.29816383,2018-05-21 00:00:00,204.75190391,200.68319411,203.4,216.75809986,43824.95156092,202.18368581
7135,202.70563931,2018-05-21 04:00:00,203.39999998,201.01000001,202.29816116,204.50038501,41355.846866800006,202.22869929
7136,199.37265044,2018-05-21 08:00:00,202.46645080000002,198.34007899,202.4,179.97948112,36117.81169258,200.67738537
7137,196.24927580000002,2018-05-21 12:00:00,199.57277815,195.53013144,198.75306457,198.00890958,38952.47333106,196.72081126
7138,194.16551998,2018-05-21 16:00:00,197.59,194.16551998,196.24931984,309.60066711,60460.93928752,195.28685080000002
7139,197.53842898,2018-05-21 20:00:00,198.63082916,194.73255951,194.73255951,19.79640675,3915.22732761,197.77464552
7140,191.50000001,2018-05-22 00:00:00,198.97337137,190.79342448,198.63046956,521.9620711,101179.54822647,193.84463705
7141,191.42794319,2018-05-22 04:00:00,192.3479009,189.39305278,190.78071534,1495.62842575,285574.12125194,190.93921747
7142,186.35827871,2018-05-22 08:00:00,191.80288749,186.32269905,190.53080164,176.82541862,33345.06671901,188.57620685
7143,186.82034297,2018-05-22 12:00:00,188.6947605,185.0,186.56,327.73681241,61325.77450969,187.11896919999998
7144,181.60618227,2018-05-22 16:00:00,187.99999902,181.0,186.81890747,310.36034657,57471.42969205,185.17645803
7145,175.26000534,2018-05-22 20:00:00,181.55790635,175.26000534,181.10487361,878.43648565,157014.53842706,178.74318859
7146,173.52039262,2018-05-23 00:00:00,176.82784212,171.1,175.26000001,1098.84385223,190656.16477777,173.50614865
7147,173.40000030000002,2018-05-23 04:00:00,179.44749982,172.08302751,173.05274921,361.75429239999994,63568.70313131,175.72342461
7148,174.0,2018-05-23 08:00:00,176.8,172.2,174.5,562.83645231,98116.14408025,174.32443061
7149,169.0,2018-05-23 12:00:00,179.40087726,169.0,175.2,1465.54850315,255988.31976754,174.6706569
7150,172.0702,2018-05-23 16:00:00,172.76549577,164.97425358,169.63399846,1232.33811005,208088.26811282,168.85647406
7151,171.34436338,2018-05-23 20:00:00,176.83959626,168.81218513,172.0702,137.19450983,23677.79551431,172.58559065
7152,174.35969795,2018-05-24 00:00:00,177.02806812,169.29698275,170.73773293,106.58220124,18537.65467545,173.92823998
7153,170.0,2018-05-24 04:00:00,176.44920304,170.0,174.24539276,177.11375931,30495.68779598,172.18135911
7154,162.01101653,2018-05-24 08:00:00,170.33375731,160.80000001,170.0,958.17968183,156428.67977291,163.25610189
7155,170.44706948,2018-05-24 12:00:00,172.30602221,160.00000001,162.94999236,627.35181208,103465.77759708,164.9246493
7156,172.27223771,2018-05-24 16:00:00,173.49976775,167.50000066,171.9930111,347.07946738,59316.20708397,170.90093957
7157,170.81150639,2018-05-24 20:00:00,171.8532618,167.61136901,171.42471577,174.60362582,29662.41225052,169.88428568
7158,172.22939095,2018-05-25 00:00:00,173.61246813,171.2079072,171.4401209,18.53847975,3201.48105393,172.69382911
7159,166.21785917,2018-05-25 04:00:00,173.90671392,163.90379545,171.94014505,89.44421597,15085.49767834,168.65816883
7160,166.77782119,2018-05-25 08:00:00,167.66746067,164.69890137,166.77471543,111.02197205,18406.84654999,165.79462794
7161,164.96495912,2018-05-25 12:00:00,168.99999849,164.79004356,167.16938473,85.85991202,14327.75235557,166.87359698
7162,164.18112136,2018-05-25 16:00:00,166.39189814,162.81299969,166.39189814,95.01810179,15608.7129965,164.27094103
7163,164.39998489,2018-05-25 20:00:00,165.01143864,162.19191645,163.05893165,159.95654875,26175.10274306,163.63883159
7164,163.44301994,2018-05-26 00:00:00,164.4442855,162.88182325,164.4,28.90958358,4727.92430488,163.54176433
7165,167.6,2018-05-26 04:00:00,167.748729,162.9137486,163.44301977,86.31144978,14176.316282400001,164.24606837
7166,165.85421439,2018-05-26 08:00:00,167.71132264,165.59741019999998,167.1,104.96329657,17464.82184797,166.38979927
7167,168.8092708,2018-05-26 12:00:00,168.94767245,165.00001669,165.85421439,50.54293348,8451.59123239,167.21608047
7168,166.94487707,2018-05-26 16:00:00,168.51727946,165.75707075,168.5,84.7300686,14217.5973106,167.79872299
7169,164.3260908,2018-05-26 20:00:00,169.0,162.18112144,167.91455388,655.74009995,107620.29589755,164.1203518
7170,161.21214507,2018-05-27 00:00:00,164.62198168,161.0,164.62198168,132.16559733,21368.51171669,161.67983309
7171,162.29340126,2018-05-27 04:00:00,162.29977264,160.35536048,161.00000004,231.41502830000002,37255.29283834,160.98908144
7172,163.55268905,2018-05-27 08:00:00,164.58775459999998,161.18024581,162.23699113,70.01001432,11451.50478446,163.56952495
7173,163.68334398,2018-05-27 12:00:00,164.21530934,161.671831,164.04386301,86.26833214,13995.91064021,162.2369448
7174,165.79689637,2018-05-27 16:00:00,169.56241948,162.93254494,162.93254495,326.76917292,54206.32060917,165.88566211
7175,166.17892727,2018-05-27 20:00:00,166.50735073,164.7427274,166.50735073,32.59153681,5382.867711899999,165.16151856
7176,166.96868287,2018-05-28 00:00:00,167.9990024,165.86590367,166.17931230000002,26.32704856,4381.15562363,166.4127148
7177,159.38265618,2018-05-28 04:00:00,167.48506593,158.66404143,166.00532526,1074.7098605,173381.48628981,161.32864567
7178,156.0641396,2018-05-28 08:00:00,159.3483763,155.43185867,159.3483763,844.96378583,133041.45873745,157.45226123
7179,155.55509199,2018-05-28 12:00:00,158.97358061,155.0,156.555303,107.60951299,16866.06973346,156.73400301
7180,156.74064703,2018-05-28 16:00:00,156.99976459,155.0,155.55509199,67.54760842,10516.2137188,155.68595194
7181,148.62269138,2018-05-28 20:00:00,156.7556118,148.3000013,156.7556118,598.1392945,90400.51543624,151.13622573
7182,151.87706809,2018-05-29 00:00:00,151.87706844,147.0,149.46027694,1281.12762306,193160.83116367,150.77407409
7183,152.62100007,2018-05-29 04:00:00,153.32953557,147.2647486,151.87255290000002,1814.36758055,271958.27221601,149.8914967
7184,163.61523387,2018-05-29 08:00:00,165.47634842,151.06670039,151.15950036,414.73940344,64472.47980087,155.45298871
7185,155.16163553,2018-05-29 12:00:00,166.92290349,153.61978545,164.39440328,542.06177463,86205.49365928,159.03260051
7186,156.22200018,2018-05-29 16:00:00,157.99999999,154.0,154.84977877,513.21432055,79945.43731259,155.77398001
7187,157.83209998,2018-05-29 20:00:00,159.99999972,156.0,157.78421808,607.57836449,96728.14966016,159.20275525
7188,158.60012498,2018-05-30 00:00:00,161.68779913,156.54307423,157.18741935,411.18613159,65586.49125238,159.50560151
7189,157.38631342,2018-05-30 04:00:00,160.61698619,156.6774,158.61970473,203.03167294,31994.20109021,157.58231524
7190,158.99985759,2018-05-30 08:00:00,159.2,156.99381646,157.61119753,144.71391451,22853.78659941,157.92390577
7191,155.74670363,2018-05-30 12:00:00,160.0,154.34010001,159.01681566,646.55584949,102290.83873381,158.20882111
7192,152.0,2018-05-30 16:00:00,155.6,151.49602794,154.5259631,474.39335166,72589.08388376,153.01454716
7193,154.1020945,2018-05-30 20:00:00,154.1020945,152.12191385,152.304,70.11029169,10736.18486848,153.13279419
7194,155.6,2018-05-31 00:00:00,155.6,153.75000639,154.48525,28.07422661,4339.44778798,154.57051936
7195,158.1815,2018-05-31 04:00:00,159.64889548,154.89170003,154.91613293,198.8291101,31352.61403846,157.68623629
7196,155.74670998,2018-05-31 08:00:00,158.09703603,155.74670998,157.2372096,211.92809214,33267.13904215,156.97371078
7197,156.38025371,2018-05-31 12:00:00,157.89999992,154.930259,155.74670999,79.18683526,12390.36940333,156.4700668
7198,157.9999999,2018-05-31 16:00:00,158.18,156.12510248,156.98850336,85.00137989,13387.20446562,157.49396636
7199,155.29000001,2018-05-31 20:00:00,158.18,155.29,157.20279642,115.38357458,18003.65730611,156.03310411
7200,155.28994306,2018-06-01 00:00:00,156.36019259,154.09630159999998,155.65703801,58.60579847,9075.74983623,154.86095357
7201,155.13180668,2018-06-01 04:00:00,156.15593968,153.81235536,155.1017331,35.68031756,5525.44149827,154.85965025
7202,153.67921502,2018-06-01 08:00:00,156.79710073,152.9483,156.00027343,177.28311266,27478.804821900005,154.99956205
7203,154.29396713,2018-06-01 12:00:00,154.29396713,152.58501497,153.16001552,138.13642268,21158.00055405,153.16742784
7204,156.99999999,2018-06-01 16:00:00,156.99999999,153.96000002,154.12,107.44113829,16716.31746527,155.58581872
7205,157.05990001,2018-06-01 20:00:00,158.4569024,155.87000262,156.99999998,100.52501283,15829.08983483,157.46419114
7206,157.51297461,2018-06-02 00:00:00,158.31441104,156.45301893,157.39271625,35.8281446,5642.16148828,157.47847261
7207,162.0,2018-06-02 04:00:00,162.0,157.23775179,157.51297462,427.07345819999995,68384.42916309,160.12334143
7208,164.54,2018-06-02 08:00:00,166.41872823,162.02667618,162.02667618,441.2858797,72406.63590986,164.08101695
7209,164.07905232,2018-06-02 12:00:00,165.6,162.8244911,163.58409154,805.55445589,133015.1767712,165.12251381
7210,166.2617744,2018-06-02 16:00:00,167.37224229,163.13358385,164.07905233,136.44339543,22618.42299008,165.77147555
7211,162.347079,2018-06-02 20:00:00,166.44264153,161.87461221,166.44264153,71.27707217,11603.75103206,162.7978069
7212,167.50873771,2018-06-03 00:00:00,167.50873771,163.13358365,163.13358365,56.27742932,9334.925019799999,165.87333736
7213,169.71787445,2018-06-03 04:00:00,170.88,166.21519232,167.50873771,371.91760699,62874.24174218,169.05422211
7214,173.40229996,2018-06-03 08:00:00,177.28,169.57680002,170.479,279.37716665,48302.28133491,172.89273104
7215,173.04525427,2018-06-03 12:00:00,173.83580580000003,170.22014968,173.39270576,570.86099917,97692.40343422,171.13168280000002
7216,169.81690003,2018-06-03 16:00:00,175.0,168.63850001,173.79,403.63687997,68664.50932985,170.11455775
7217,169.65582980000002,2018-06-03 20:00:00,171.58021100000002,168.64914746,169.96275849,164.9244194,28117.84057112,170.48925
7218,168.19999999,2018-06-04 00:00:00,170.33499997,168.00000007,169.65582979,302.80353408,51399.32725049,169.74480633
7219,165.53231430000002,2018-06-04 04:00:00,169.8999999,162.33025178,168.2,306.76267594,50474.73608739,164.54001756
7220,159.6009974,2018-06-04 08:00:00,165.52387676,159.47647995,164.97197861,186.89792914,30302.61078317,162.13454543
7221,158.20227899,2018-06-04 12:00:00,161.99999997,157.15000001,159.6009974,602.2696961,95276.28262292,158.19537864
7222,160.27518879,2018-06-04 16:00:00,160.27518879,157.96833018,159.42429916,56.48831685,8977.93152003,158.93430749
7223,160.52582403,2018-06-04 20:00:00,162.405,159.34191577,160.04999999,58.59664569,9423.56041436,160.82081667
7224,158.332,2018-06-05 00:00:00,162.79164288,158.0145,159.20387475,120.31289058,19318.34707279,160.5675583
7225,157.51329971,2018-06-05 04:00:00,159.16671269,156.33908839,158.69578542,177.4885374,28027.37207376,157.91088531
7226,161.0,2018-06-05 08:00:00,162.63096915,158.12244878,158.12244878,113.86283394,18274.60228781,160.49664017
7227,164.90775159,2018-06-05 12:00:00,164.90775159,160.51449861,161.06443733,30.34918519,4922.20781073,162.18583068
7228,167.6601135,2018-06-05 16:00:00,169.46478048,164.90775159,164.90775159,1315.8282299,220709.66684902,167.73440623
7229,166.1592913,2018-06-05 20:00:00,167.92717822,165.89527509,167.8068728,154.14120656,25817.43658662,167.49211429
7230,165.67347227,2018-06-06 00:00:00,167.45815799,165.67347227,166.99076867,8.12453452,1348.48364433,165.97672654
7231,166.9999998,2018-06-06 04:00:00,166.9999998,164.6123894,165.83673613,24.30165831,4038.51495956,166.18269041
7232,163.10707441,2018-06-06 08:00:00,166.46739763,163.10707242,166.41536507,53.27712951,8740.696421100001,164.06094888
7233,166.09560758,2018-06-06 12:00:00,167.92717813,164.01183473,164.01183473,1573.67100542,263215.91486785,167.26235277
7234,162.95332584,2018-06-06 16:00:00,167.92717822,161.30760057,166.24263694,261.27780834,43005.32619798,164.59616861
7235,164.14054877,2018-06-06 20:00:00,166.5,162.70987245,162.95425055,278.16970436,45921.02819505,165.08278031
7236,168.51443499,2018-06-07 00:00:00,170.44813736,164.14054861,164.14054879,218.53099500000002,36728.17569437,168.06849616
7237,167.53018189,2018-06-07 04:00:00,168.72917554,166.83139879,168.72917554,9.51904868,1594.85309765,167.54332825
7238,168.07669437,2018-06-07 08:00:00,171.82183136,166.83139879,167.84324761,316.61170359,53812.66327591,169.96422641
7239,165.31003197,2018-06-07 12:00:00,168.66949996,165.29665206,168.07669436,251.55729548,42065.134477199994,167.21890095
7240,166.99511063,2018-06-07 16:00:00,168.23220997,166.05531269,166.12,1713.83402564,286406.65608859,167.11458157
7241,163.4711,2018-06-07 20:00:00,167.484,162.2032632,166.99511063,361.15423887,59174.94655765,163.84951411
7242,163.81048594,2018-06-08 00:00:00,165.0,163.0,163.6704389,53.00732141,8706.87138796,164.25790167
7243,162.76042560000002,2018-06-08 04:00:00,164.2,161.45208376,164.2,63.34851887,10265.83609635,162.0532931
7244,158.3,2018-06-08 08:00:00,162.50513645,157.12049871,162.50513644,377.96009669,60054.02769661,158.88986224
7245,159.46349354,2018-06-08 12:00:00,159.46349354,156.7286782,158.3,305.86519586,48426.21943372,158.32536715
7246,159.12,2018-06-08 16:00:00,161.17090438,159.12,159.85395725,143.46296999,22989.52943023,160.24713158
7247,158.0,2018-06-08 20:00:00,159.6342394,158.0,159.12000017,191.18768989,30426.83682357,159.14642224
7248,159.18575773,2018-06-09 00:00:00,160.73857476,158.02312141,158.62011257,100.59986611,16023.20983853,159.27665173
7249,159.18575773,2018-06-09 04:00:00,159.92623474,159.18575773,159.52317351,214.72507645,34183.07706793,159.19462054
7250,158.58529786,2018-06-09 08:00:00,159.92623178,158.00000029,159.55265808,64.04090699,10190.09473902,159.11852623
7251,158.3358491,2018-06-09 12:00:00,159.35676284,156.06469222,159.00848194,802.90362376,125778.87143245,156.65500529
7252,155.98,2018-06-09 16:00:00,158.71216718,155.56000005,158.71216594,29.80337172,4659.49585796,156.34123218
7253,154.0,2018-06-09 20:00:00,156.50339325,154.0,155.77150086,71.66809229,11118.46061344,155.13822481
7254,147.84955129,2018-06-10 00:00:00,154.57342169,146.34295988,154.57342169,1060.15624049,159733.66322618,150.66992687
7255,145.46649886,2018-06-10 04:00:00,147.84080578,144.0,147.84080578,88.22709995,12908.60165928,146.31107297
7256,147.05941772,2018-06-10 08:00:00,147.43982442,143.33673636,145.46618288,158.51665468,22996.355100200002,145.07217015
7257,146.0,2018-06-10 12:00:00,149.2922618,145.7777,147.05941772,151.16182128,22320.666324200003,147.66073956
7258,136.39,2018-06-10 16:00:00,146.51999991,131.00563132,146.51999991,1594.31157762,217060.66000768,136.14695085
7259,138.89000002,2018-06-10 20:00:00,139.23389779,133.22146027,136.40999998,691.3728136,93108.72542306,134.67223991
7260,137.0,2018-06-11 00:00:00,139.70249562,134.902805,138.89000004,395.30729199,54193.48201993,137.09203730000002
7261,132.73253611,2018-06-11 04:00:00,138.62,132.73253611,137.0,149.53299957,20469.33330182,136.88840162
7262,138.40212999,2018-06-11 08:00:00,138.40212999,134.6934936,134.6934936,94.54090197,12888.19578914,136.32401976
7263,133.34614122,2018-06-11 12:00:00,139.0,132.9875845,138.24632547,698.25209978,95398.80770827,136.62516408
7264,133.34023542,2018-06-11 16:00:00,136.81178891,131.80399089,134.05732182,97.62184572,13008.47399772,133.25371899
7265,137.70516569,2018-06-11 20:00:00,138.4582554,132.15285839,133.39721671,121.47753536,16578.04032271,136.47000882
